actor_id,actor_name
31,Tom Hanks
12898,Tim Allen
7167,Don Rickles
12899,Jim Varney
12900,Wallace Shawn
7907,John Ratzenberger
8873,Annie Potts
1116442,John Morris
12901,Erik von Detten
12133,Laurie Metcalf
2157,Robin Williams
8537,Jonathan Hyde
205,Kirsten Dunst
145151,Bradley Pierce
5149,Bonnie Hunt
10739,Bebe Neuwirth
58563,David Alan Grier
1276,Patricia Clarkson
46530,Adam Hann-Byrd
56523,Laura Bell Bundy
6837,Walter Matthau
3151,Jack Lemmon
13567,Ann-Margret
16757,Sophia Loren
589,Daryl Hannah
16523,Burgess Meredith
7166,Kevin Pollak
8851,Whitney Houston
9780,Angela Bassett
18284,Loretta Devine
51359,Lela Rochon
66804,Gregory Hines
352,Dennis Haysbert
87118,Michael Beach
34,Mykelti Williamson
1276777,Lamont Johnson
10814,Wesley Snipes
67773,Steve Martin
3092,Diane Keaton
519,Martin Short
70696,Kimberly Williams-Paisley
59222,George Newbern
18793,Kieran Culkin
14592,BD Wong
20906,Peter Michael Goetz
54348,Kate McGregor-Stewart
209,Jane Adams
1158,Al Pacino
380,Robert De Niro
5576,Val Kilmer
10127,Jon Voight
3197,Tom Sizemore
6200,Diane Venora
15851,Amy Brenneman
15852,Ashley Judd
524,Natalie Portman
3,Harrison Ford
15887,Julia Ormond
17141,Greg Kinnear
4301,Angie Dickinson
12957,Nancy Marchand
8937,John Wood
16554,Richard Crenna
34485,Lauren Holly
13314,Dana Ivey
20234,Fanny Ardant
53283,Jonathan Taylor Thomas
51214,Brad Renfro
38581,Rachael Leigh Cook
8316,Michael McShane
87007,Amy Wright
57448,Eric Schweig
102313,Tamara Mello
15111,Jean-Claude Van Damme
6280,Powers Boothe
8656,Dorian Harewood
10361,Raymond J. Barry
12928,Ross Malinger
79088,Whittni Wright
517,Pierce Brosnan
48,Sean Bean
10695,Izabella Scorupco
10696,Famke Janssen
10671,Joe Don Baker
5309,Judi Dench
3757,Gottfried John
1923,Robbie Coltrane
10697,Alan Cumming
10698,Tchéky Karyo
3392,Michael Douglas
516,Annette Bening
521,Michael J. Fox
8349,Martin Sheen
63279,Anna Deavere Smith
112080,Shawna Waldron
20767,Samantha Mathis
19839,David Paymer
3037,Richard Dreyfuss
42133,Nina Siemaszko
7633,Leslie Nielsen
14639,Mel Brooks
1219,Amy Yasbeck
12688,Peter MacNicol
12812,Lysette Anthony
13640,Harvey Korman
6106,Steven Weber
29709,Mark Blankfield
53570,Megan Cavanagh
170185,Gregg Binkley
4724,Kevin Bacon
382,Bob Hoskins
2233,Bridget Fonda
12077,Jim Cummings
110001,Phil Collins
67386,Juliette Brewer
19545,Jack Angel
52699,Danny Mann
77157,Robbie Rist
176254,Sandra Dickinson
4173,Anthony Hopkins
11148,Joan Allen
228,Ed Harris
5249,E.G. Marshall
11076,David Hyde Pierce
7004,Paul Sorvino
2453,Mary Steenburgen
16935,Geena Davis
8654,Matthew Modine
8924,Frank Langella
7868,Maury Chaykin
8979,Patrick Malahide
16936,Stan Shaw
16937,Rex Linn
13925,Paul Dillon
35769,Christopher Masterson
133771,Jimmie F. Skaggs
4430,Sharon Stone
4517,Joe Pesci
4512,James Woods
7169,Alan King
7165,Pasquale Cajano
8262,L.Q. Jones
166789,Dick Smothers
204,Kate Winslet
7056,Emma Thompson
3291,Hugh Grant
207,Tom Wilkinson
4566,Alan Rickman
20769,Imogen Stubbs
16700,Greg Wise
41419,Hugh Laurie
11356,Imelda Staunton
23076,Robert Hardy
3129,Tim Roth
3131,Antonio Banderas
3130,Jennifer Beals
3125,Madonna
3141,Marisa Tomei
62,Bruce Willis
138,Quentin Tarantino
3122,Sammi Davis
3123,Amanda de Cadenet
3124,Valeria Golino
206,Jim Carrey
3547,Ian McNeice
4001,Simon Callow
57096,Maynard Eziashi
4029,Bob Gunton
2598,Sophie Okonedo
88059,Tommy Davidson
31164,Adewale Akinnuoye-Agbaje
1080060,Danny D. Daniels
1080061,Sam Motoana Phillips
57755,Woody Harrelson
16866,Jennifer Lopez
9287,Robert Blake
2955,Chris Cooper
4887,Joe Grifasi
32287,Scott Sowers
33658,Skipp Sudduth
106791,Aida Turturro
47774,Vincent Pastore
8891,John Travolta
193,Gene Hackman
14343,Rene Russo
518,Danny DeVito
1117,Dennis Farina
18792,Delroy Lindo
4691,James Gandolfini
9629,Jon Gries
53600,Renee Props
10205,Sigourney Weaver
18686,Holly Hunter
883,Will Patton
18687,William McNamara
18688,Harry Connick Jr.
5169,J.E. Freeman
20212,Dermot Mulroney
60205,John Rothman
154691,Shannon O'Hurley
95838,Bob Greene
16483,Sylvester Stallone
1231,Julianne Moore
58556,Anatoli Davydov
17348,Muse Watson
14328,Steve Kahan
47757,Kelly Rowan
31508,Reed Diamond
42146,Kai Wulff
58557,Kerry Skalsky
54789,Sean Patrick Flanery
2714,Lance Henriksen
4785,Jeff Goldblum
36637,Brandon Smith
2963,Nicolas Cage
1951,Elisabeth Shue
6104,Julian Sands
6105,Richard Lewis
6107,Kim Adams
6108,Emily Procter
6109,Stuart Reynolds 
6110,Graham Beckel
2975,Laurence Fishburne
1350,Irène Jacob
11181,Kenneth Branagh
27631,Nathaniel Parker
232174,Indra Ové
17483,Michael Maloney
1227643,Anna Patrick
32357,Nicholas Farrell
3968,Michael Sheen
6886,Christina Ricci
12929,Rosie O'Donnell
2155,Thora Birch
29369,Melanie Griffith
12930,Gaby Hoffmann
3416,Demi Moore
114471,Ashleigh Aston Moore
12931,Rita Wilson
141521,Walter Sparrow
50398,Devon Sawa
30318,Amanda Root
8785,Ciarán Hinds
87415,Susan Fleetwood
10981,Fiona Shaw
14465,John Woodvine
3930,Phoebe Nicholls
54447,Samuel West
32990,Sophie Thompson
45455,Judy Cornwell
57461,Simon Russell Beale
2372,Ron Perlman
2413,Dominique Pinon
13842,Judith Vittet
13843,Daniel Emilfork
13687,Jean-Claude Dreyfus
13845,Geneviève Brunet
13846,Odile Mallet
4394,Mireille Mossé
2410,Serge Merlin
2407,Rufus
643,Gong Li
146097,Li Bao-Tian
150151,Wang Xiaoxiao
143358,Li Xuejian
150152,Chun Sung
150153,Fu Biao
1160,Michelle Pfeiffer
10477,George Dzundza
24047,Courtney B. Vance
11902,Robin Bartlett
12642,John Neville
168638,Beatrice Winde
81726,Lorraine Toussaint
28863,Renoly Santiago
975133,Wade Dominguez
188642,Bruklin Harris
289,Madeleine Stowe
287,Brad Pitt
290,Christopher Plummer
52,David Morse
288,Jon Seda
291,Frank Gorshin
975569,Joseph Melito
1273540,Aaron Michael Lacey
22227,Christopher Meloni
4138,Craig Sheffer
4513,Elizabeth McGovern
3999,Tom Hulce
58406,Ken Pogue
554094,Ron Sauvé
156330,Freddy Andreiuci
58136,Christine Cavanaugh
6199,Miriam Margolyes
1331,Hugo Weaving
35109,Miriam Flynn
2505,James Cromwell
6035,Russi Taylor
1080206,Evelyn Krape
1080207,Michael Edward-Stevens
1229258,Charles Bartlett
378,Jonathan Pryce
27764,Steven Waddington
17328,Rufus Sewell
1249,Penelope Wilton
47627,Janet McTeer
18325,Jeremy Northam
83701,Alex Kingston
186389,Richard Clifford
4038,Susan Sarandon
2228,Sean Penn
10360,Robert Prosky
8655,R. Lee Ermey
1989,Celia Weston
2207,Lois Smith
6914,Scott Wilson
10362,Roberta Maxwell
452,Margo Martindale
1467084,Peter Reznick
1467085,John McDonough
1467086,Avi Hoffman
19208,Matt Malloy
1218074,Abby Lewis
1796,Kirstie Alley
26472,Steve Guttenberg
67848,Ashley Olsen
67849,Mary-Kate Olsen
92255,Jane Sibbett
6541,Philip Bosco
1331570,Michelle Grisom
1329538,Desmond Robertson
1331571,Tiny Mills
1331572,Shanelle Henry
5588,Alicia Silverstone
58150,Stacey Dash
328,Brittany Murphy
22226,Paul Rudd
49002,Donald Faison
58151,Elisa Donovan
33654,Breckin Meyer
23958,Jeremy Sisto
6486,Dan Hedaya
15152,James Earl Jones
17764,Charles S. Dutton
123831,Jack Robinson
123833,Tsholofelo Wechoemang
123834,Ramalao Makhene
194,Richard Harris
89307,Dolly Rathebe
111179,Jennifer Steyn
1035098,Ian Roberts
1073473,David Clatworthy
1327,Ian McKellen
388,Jim Broadbent
5470,Kristin Scott Thomas
42566,Adrian Dunbar
10978,Maggie Smith
41043,Tim McInnerny
3223,Robert Downey Jr.
3545,Edward Hardwicke
15788,Nigel Hawthorne
18291,Larenz Tate
65827,Keith David
66,Chris Tucker
6862,Freddy Rodríguez
69447,Rose Jackson
10824,N'Bushe Wright
58924,Clifton Powell
18288,Terrence Howard
71913,Bokeem Woodbine
1277051,Sticky Fingaz
5344,Meg Ryan
4783,Sam Neill
11207,David Thewlis
6416,Polly Walker
27762,Ian McDiarmid
97170,Mary MacLeod
1229022,Willie Ross
38559,Christopher Lambert
57250,Robin Shou
57251,Linden Ashby
11398,Cary-Hiroyuki Tagawa
20751,Bridgette Wilson
10680,Talisa Soto
