actor_id,movie_id,character
31,862,Woody (voice)
12898,862,Buzz Lightyear (voice)
7167,862,Mr. Potato Head (voice)
12899,862,Slinky Dog (voice)
12900,862,Rex (voice)
7907,862,Hamm (voice)
8873,862,Bo Peep (voice)
1116442,862,Andy (voice)
12901,862,Sid (voice)
12133,862,Mrs. Davis (voice)
2157,8844,Alan Parrish
8537,8844,Samuel Alan Parrish / Van Pelt
205,8844,Judy Sheperd
145151,8844,Peter Shepherd
5149,8844,Sarah Whittle
10739,8844,Nora Shepherd
58563,8844,Carl Bentley
1276,8844,Carol Anne Parrish
46530,8844,Alan Parrish (young)
56523,8844,Sarah Whittle (young)
6837,15602,Max Goldman
3151,15602,John Gustafson
13567,15602,Ariel Gustafson
16757,15602,Maria Sophia Coletta Ragetti
589,15602,Melanie Gustafson
16523,15602,Grandpa Gustafson
7166,15602,Jacob Goldman
8851,31357,Savannah 'Vannah' Jackson
9780,31357,Bernadine 'Bernie' Harris
18284,31357,Gloria 'Glo' Matthews
51359,31357,Robin Stokes
66804,31357,Marvin King
352,31357,Kenneth Dawkins
87118,31357,"John Harris, Sr."
34,31357,Troy
1276777,31357,Joseph
10814,31357,James Wheeler
67773,11862,George Banks
3092,11862,Nina Banks
519,11862,Franck Eggelhoffer
70696,11862,Annie Banks-MacKenzie
59222,11862,Bryan MacKenzie
18793,11862,Matty Banks
14592,11862,Howard Weinstein
20906,11862,John MacKenzie
54348,11862,Joanna MacKenzie
209,11862,Dr. Megan Eisenberg
1158,949,Lt. Vincent Hanna
380,949,Neil McCauley
5576,949,Chris Shiherlis
10127,949,Nate
3197,949,Michael Cheritto
6200,949,Justine Hanna
15851,949,Eady
15852,949,Charlene Shiherlis
34,949,Sergeant Drucker
524,949,Lauren Gustafson
3,11860,Linus Larrabee
15887,11860,Sabrina Fairchild
17141,11860,David Larrabee
4301,11860,Mrs. Ingrid Tyson
12957,11860,Maude Larrabee
8937,11860,Fairchild
16554,11860,Patrick Tyson
34485,11860,Elizabeth Tyson
13314,11860,Mack
20234,11860,Irene
53283,45325,Tom Sawyer
51214,45325,Huck Finn
38581,45325,Becky Thatcher
8316,45325,Muff Potter
87007,45325,Aunt Polly
57448,45325,Injun Joe
102313,45325,Townsperson
15111,9091,Darren Francis Thomas McCord
6280,9091,Joshua Foss
8656,9091,Matthew Hallmark
10361,9091,Vizepräsident Daniel Bender
12928,9091,Tyler
79088,9091,Emily McCord
517,710,James Bond
48,710,Alec Trevelyan
10695,710,Natalya Fyodorovna Simonova
10696,710,Xenia Onatopp
10671,710,Jack Wade
5309,710,M
3757,710,General Arkady Grigorovich Ourumov
1923,710,Valentin Dmitrovich Zukovsky
10697,710,Boris Grishenko
10698,710,Defense Minister Dmitri Mishkin
3392,9087,Andrew Shepherd
516,9087,Sydney Ellen Wade
521,9087,Lewis Rothschild
8349,9087,A.J. MacInerney
63279,9087,Robin McCall
112080,9087,Lucy Shepherd
20767,9087,Janie Basdin
19839,9087,Leon Kodak
3037,9087,Senator Bob Rumson
42133,9087,Beth Wade
7633,12110,Count Dracula
14639,12110,Prof. Abraham Van Helsing
1219,12110,Mina Seward
12688,12110,Thomas Renfield
12812,12110,Lucy Westenra
13640,12110,Dr. Jack Seward
6106,12110,Jonathan Harker
29709,12110,Martin
53570,12110,Essie
170185,12110,Woodbridge
4724,21032,Balto (voice)
382,21032,Boris the Goose (voice)
2233,21032,Jenna (voice)
12077,21032,Steele the Sled Dog (voice)
110001,21032,Muk and Luk (voice)
67386,21032,Young Rosy (voice)
19545,21032,Nikki (voice)
52699,21032,Kaltag (voice)
77157,21032,Star (voice)
176254,21032,Dixie / Sylvie (voice)
4173,10858,Richard Nixon
11148,10858,Pat Nixon
6280,10858,Alexander Haig
228,10858,E. Howard Hunt
382,10858,J. Edgar Hoover
5249,10858,John Mitchell
19839,10858,Ron Ziegler
11076,10858,John Dean
7004,10858,Henry Kissinger
2453,10858,Hannah Nixon
16935,1408,Morgan Adams
8654,1408,William Shaw
8924,1408,Dawg
7868,1408,John Reed
8979,1408,Ainstee
16936,1408,Glasspoole
16937,1408,Mr. Blair
13925,1408,Snelgrave
35769,1408,Bowen
133771,1408,Scully
380,524,Sam 'Ace' Rothstein
4430,524,Ginger McKenna
4517,524,Nicky Santoro
